Category,Name,Symbol,Definition,Units/Dimension,Bucket,Typical Value / Formula,Estimation / Source,Notes
Technical Indicators,EMA period 2,α_2,EMA smoothing factor,dimensionless,E,0.666667,Definition α = 2/(2+1),Default; tunable
Technical Indicators,EMA period 359,α_359,EMA smoothing factor,dimensionless,E,0.005556,Definition α = 2/(359+1),Default; tunable
Technical Indicators,EMA period 360,α_360,EMA smoothing factor,dimensionless,E,0.005540,Definition α = 2/(360+1),Default; tunable
Technical Indicators,EMA period 361,α_361,EMA smoothing factor,dimensionless,E,0.005525,Definition α = 2/(361+1),Default; tunable
Technical Indicators,EMA period 362,α_362,EMA smoothing factor,dimensionless,E,0.005510,Definition α = 2/(362+1),Default; tunable
Technical Indicators,EMA period 363,α_363,EMA smoothing factor,dimensionless,E,0.005495,Definition α = 2/(363+1),Default; tunable
Technical Indicators,EMA period 364,α_364,EMA smoothing factor,dimensionless,E,0.005479,Definition α = 2/(364+1),Default; tunable
Technical Indicators,EMA period 365,α_365,EMA smoothing factor,dimensionless,E,0.005464,Definition α = 2/(365+1),Default; tunable
Technical Indicators,EMA period 366,α_366,EMA smoothing factor,dimensionless,E,0.005450,Definition α = 2/(366+1),Default; tunable
Technical Indicators,EMA period 367,α_367,EMA smoothing factor,dimensionless,E,0.005435,Definition α = 2/(367+1),Default; tunable
Technical Indicators,EMA period 368,α_368,EMA smoothing factor,dimensionless,E,0.005420,Definition α = 2/(368+1),Default; tunable
Technical Indicators,EMA period 369,α_369,EMA smoothing factor,dimensionless,E,0.005405,Definition α = 2/(369+1),Default; tunable
Technical Indicators,EMA period 370,α_370,EMA smoothing factor,dimensionless,E,0.005391,Definition α = 2/(370+1),Default; tunable
Technical Indicators,EMA period 371,α_371,EMA smoothing factor,dimensionless,E,0.005376,Definition α = 2/(371+1),Default; tunable
Technical Indicators,EMA period 372,α_372,EMA smoothing factor,dimensionless,E,0.005362,Definition α = 2/(372+1),Default; tunable
Technical Indicators,EMA period 373,α_373,EMA smoothing factor,dimensionless,E,0.005348,Definition α = 2/(373+1),Default; tunable
Technical Indicators,EMA period 374,α_374,EMA smoothing factor,dimensionless,E,0.005333,Definition α = 2/(374+1),Default; tunable
Technical Indicators,EMA period 375,α_375,EMA smoothing factor,dimensionless,E,0.005319,Definition α = 2/(375+1),Default; tunable
Technical Indicators,EMA period 376,α_376,EMA smoothing factor,dimensionless,E,0.005305,Definition α = 2/(376+1),Default; tunable
Technical Indicators,EMA period 377,α_377,EMA smoothing factor,dimensionless,E,0.005291,Definition α = 2/(377+1),Default; tunable
Technical Indicators,EMA period 378,α_378,EMA smoothing factor,dimensionless,E,0.005277,Definition α = 2/(378+1),Default; tunable
Technical Indicators,EMA period 379,α_379,EMA smoothing factor,dimensionless,E,0.005263,Definition α = 2/(379+1),Default; tunable
Technical Indicators,EMA period 380,α_380,EMA smoothing factor,dimensionless,E,0.005249,Definition α = 2/(380+1),Default; tunable
Technical Indicators,EMA period 381,α_381,EMA smoothing factor,dimensionless,E,0.005236,Definition α = 2/(381+1),Default; tunable
Technical Indicators,EMA period 382,α_382,EMA smoothing factor,dimensionless,E,0.005222,Definition α = 2/(382+1),Default; tunable
Technical Indicators,EMA period 383,α_383,EMA smoothing factor,dimensionless,E,0.005208,Definition α = 2/(383+1),Default; tunable
Technical Indicators,EMA period 384,α_384,EMA smoothing factor,dimensionless,E,0.005195,Definition α = 2/(384+1),Default; tunable
Technical Indicators,EMA period 385,α_385,EMA smoothing factor,dimensionless,E,0.005181,Definition α = 2/(385+1),Default; tunable
Technical Indicators,EMA period 386,α_386,EMA smoothing factor,dimensionless,E,0.005168,Definition α = 2/(386+1),Default; tunable
Technical Indicators,EMA period 387,α_387,EMA smoothing factor,dimensionless,E,0.005155,Definition α = 2/(387+1),Default; tunable
Technical Indicators,EMA period 388,α_388,EMA smoothing factor,dimensionless,E,0.005141,Definition α = 2/(388+1),Default; tunable
Technical Indicators,EMA period 389,α_389,EMA smoothing factor,dimensionless,E,0.005128,Definition α = 2/(389+1),Default; tunable
Technical Indicators,EMA period 390,α_390,EMA smoothing factor,dimensionless,E,0.005115,Definition α = 2/(390+1),Default; tunable
Technical Indicators,EMA period 391,α_391,EMA smoothing factor,dimensionless,E,0.005102,Definition α = 2/(391+1),Default; tunable
Technical Indicators,EMA period 392,α_392,EMA smoothing factor,dimensionless,E,0.005089,Definition α = 2/(392+1),Default; tunable
Technical Indicators,EMA period 393,α_393,EMA smoothing factor,dimensionless,E,0.005076,Definition α = 2/(393+1),Default; tunable
Technical Indicators,EMA period 394,α_394,EMA smoothing factor,dimensionless,E,0.005063,Definition α = 2/(394+1),Default; tunable
Technical Indicators,EMA period 395,α_395,EMA smoothing factor,dimensionless,E,0.005051,Definition α = 2/(395+1),Default; tunable
Technical Indicators,EMA period 396,α_396,EMA smoothing factor,dimensionless,E,0.005038,Definition α = 2/(396+1),Default; tunable
Technical Indicators,EMA period 397,α_397,EMA smoothing factor,dimensionless,E,0.005025,Definition α = 2/(397+1),Default; tunable
Technical Indicators,EMA period 398,α_398,EMA smoothing factor,dimensionless,E,0.005013,Definition α = 2/(398+1),Default; tunable
Technical Indicators,EMA period 399,α_399,EMA smoothing factor,dimensionless,E,0.005000,Definition α = 2/(399+1),Default; tunable
Technical Indicators,EMA period 400,α_400,EMA smoothing factor,dimensionless,E,0.004988,Definition α = 2/(400+1),Default; tunable
Technical Indicators,EMA period 401,α_401,EMA smoothing factor,dimensionless,E,0.004975,Definition α = 2/(401+1),Default; tunable
Technical Indicators,EMA period 402,α_402,EMA smoothing factor,dimensionless,E,0.004963,Definition α = 2/(402+1),Default; tunable
Technical Indicators,EMA period 403,α_403,EMA smoothing factor,dimensionless,E,0.004950,Definition α = 2/(403+1),Default; tunable
Technical Indicators,EMA period 404,α_404,EMA smoothing factor,dimensionless,E,0.004938,Definition α = 2/(404+1),Default; tunable
Technical Indicators,EMA period 405,α_405,EMA smoothing factor,dimensionless,E,0.004926,Definition α = 2/(405+1),Default; tunable
Technical Indicators,EMA period 406,α_406,EMA smoothing factor,dimensionless,E,0.004914,Definition α = 2/(406+1),Default; tunable
Technical Indicators,EMA period 407,α_407,EMA smoothing factor,dimensionless,E,0.004902,Definition α = 2/(407+1),Default; tunable
Technical Indicators,EMA period 408,α_408,EMA smoothing factor,dimensionless,E,0.004890,Definition α = 2/(408+1),Default; tunable
Technical Indicators,EMA period 409,α_409,EMA smoothing factor,dimensionless,E,0.004878,Definition α = 2/(409+1),Default; tunable
Technical Indicators,EMA period 410,α_410,EMA smoothing factor,dimensionless,E,0.004866,Definition α = 2/(410+1),Default; tunable
Technical Indicators,EMA period 411,α_411,EMA smoothing factor,dimensionless,E,0.004854,Definition α = 2/(411+1),Default; tunable
Technical Indicators,EMA period 412,α_412,EMA smoothing factor,dimensionless,E,0.004843,Definition α = 2/(412+1),Default; tunable
Technical Indicators,EMA period 413,α_413,EMA smoothing factor,dimensionless,E,0.004831,Definition α = 2/(413+1),Default; tunable
Technical Indicators,EMA period 414,α_414,EMA smoothing factor,dimensionless,E,0.004819,Definition α = 2/(414+1),Default; tunable
Technical Indicators,EMA period 415,α_415,EMA smoothing factor,dimensionless,E,0.004808,Definition α = 2/(415+1),Default; tunable
Technical Indicators,EMA period 416,α_416,EMA smoothing factor,dimensionless,E,0.004796,Definition α = 2/(416+1),Default; tunable
Technical Indicators,EMA period 417,α_417,EMA smoothing factor,dimensionless,E,0.004785,Definition α = 2/(417+1),Default; tunable
Technical Indicators,EMA period 418,α_418,EMA smoothing factor,dimensionless,E,0.004773,Definition α = 2/(418+1),Default; tunable
Technical Indicators,EMA period 419,α_419,EMA smoothing factor,dimensionless,E,0.004762,Definition α = 2/(419+1),Default; tunable
Technical Indicators,EMA period 420,α_420,EMA smoothing factor,dimensionless,E,0.004751,Definition α = 2/(420+1),Default; tunable
Technical Indicators,EMA period 421,α_421,EMA smoothing factor,dimensionless,E,0.004739,Definition α = 2/(421+1),Default; tunable
Technical Indicators,EMA period 422,α_422,EMA smoothing factor,dimensionless,E,0.004728,Definition α = 2/(422+1),Default; tunable
Technical Indicators,EMA period 423,α_423,EMA smoothing factor,dimensionless,E,0.004717,Definition α = 2/(423+1),Default; tunable
Technical Indicators,EMA period 424,α_424,EMA smoothing factor,dimensionless,E,0.004706,Definition α = 2/(424+1),Default; tunable
Technical Indicators,EMA period 425,α_425,EMA smoothing factor,dimensionless,E,0.004695,Definition α = 2/(425+1),Default; tunable
Technical Indicators,EMA period 426,α_426,EMA smoothing factor,dimensionless,E,0.004684,Definition α = 2/(426+1),Default; tunable
Technical Indicators,EMA period 427,α_427,EMA smoothing factor,dimensionless,E,0.004673,Definition α = 2/(427+1),Default; tunable
Technical Indicators,EMA period 428,α_428,EMA smoothing factor,dimensionless,E,0.004662,Definition α = 2/(428+1),Default; tunable
Technical Indicators,EMA period 429,α_429,EMA smoothing factor,dimensionless,E,0.004651,Definition α = 2/(429+1),Default; tunable
Technical Indicators,EMA period 430,α_430,EMA smoothing factor,dimensionless,E,0.004640,Definition α = 2/(430+1),Default; tunable
Technical Indicators,EMA period 431,α_431,EMA smoothing factor,dimensionless,E,0.004630,Definition α = 2/(431+1),Default; tunable
Technical Indicators,EMA period 432,α_432,EMA smoothing factor,dimensionless,E,0.004619,Definition α = 2/(432+1),Default; tunable
Technical Indicators,EMA period 433,α_433,EMA smoothing factor,dimensionless,E,0.004608,Definition α = 2/(433+1),Default; tunable
Technical Indicators,EMA period 434,α_434,EMA smoothing factor,dimensionless,E,0.004598,Definition α = 2/(434+1),Default; tunable
Technical Indicators,EMA period 435,α_435,EMA smoothing factor,dimensionless,E,0.004587,Definition α = 2/(435+1),Default; tunable
Technical Indicators,EMA period 436,α_436,EMA smoothing factor,dimensionless,E,0.004577,Definition α = 2/(436+1),Default; tunable
Technical Indicators,EMA period 437,α_437,EMA smoothing factor,dimensionless,E,0.004566,Definition α = 2/(437+1),Default; tunable
Technical Indicators,EMA period 438,α_438,EMA smoothing factor,dimensionless,E,0.004556,Definition α = 2/(438+1),Default; tunable
Technical Indicators,EMA period 439,α_439,EMA smoothing factor,dimensionless,E,0.004545,Definition α = 2/(439+1),Default; tunable
Technical Indicators,EMA period 440,α_440,EMA smoothing factor,dimensionless,E,0.004535,Definition α = 2/(440+1),Default; tunable
Technical Indicators,EMA period 441,α_441,EMA smoothing factor,dimensionless,E,0.004525,Definition α = 2/(441+1),Default; tunable
Technical Indicators,EMA period 442,α_442,EMA smoothing factor,dimensionless,E,0.004515,Definition α = 2/(442+1),Default; tunable
Technical Indicators,EMA period 443,α_443,EMA smoothing factor,dimensionless,E,0.004505,Definition α = 2/(443+1),Default; tunable
Technical Indicators,EMA period 444,α_444,EMA smoothing factor,dimensionless,E,0.004494,Definition α = 2/(444+1),Default; tunable
Technical Indicators,EMA period 445,α_445,EMA smoothing factor,dimensionless,E,0.004484,Definition α = 2/(445+1),Default; tunable
Technical Indicators,EMA period 446,α_446,EMA smoothing factor,dimensionless,E,0.004474,Definition α = 2/(446+1),Default; tunable
Technical Indicators,EMA period 447,α_447,EMA smoothing factor,dimensionless,E,0.004464,Definition α = 2/(447+1),Default; tunable
Technical Indicators,EMA period 448,α_448,EMA smoothing factor,dimensionless,E,0.004454,Definition α = 2/(448+1),Default; tunable
Technical Indicators,EMA period 449,α_449,EMA smoothing factor,dimensionless,E,0.004444,Definition α = 2/(449+1),Default; tunable
Technical Indicators,EMA period 450,α_450,EMA smoothing factor,dimensionless,E,0.004435,Definition α = 2/(450+1),Default; tunable
Technical Indicators,EMA period 451,α_451,EMA smoothing factor,dimensionless,E,0.004425,Definition α = 2/(451+1),Default; tunable
Technical Indicators,EMA period 452,α_452,EMA smoothing factor,dimensionless,E,0.004415,Definition α = 2/(452+1),Default; tunable
Technical Indicators,EMA period 453,α_453,EMA smoothing factor,dimensionless,E,0.004405,Definition α = 2/(453+1),Default; tunable
Technical Indicators,EMA period 454,α_454,EMA smoothing factor,dimensionless,E,0.004396,Definition α = 2/(454+1),Default; tunable
Technical Indicators,EMA period 455,α_455,EMA smoothing factor,dimensionless,E,0.004386,Definition α = 2/(455+1),Default; tunable
Technical Indicators,EMA period 456,α_456,EMA smoothing factor,dimensionless,E,0.004376,Definition α = 2/(456+1),Default; tunable
Technical Indicators,EMA period 457,α_457,EMA smoothing factor,dimensionless,E,0.004367,Definition α = 2/(457+1),Default; tunable
Technical Indicators,EMA period 458,α_458,EMA smoothing factor,dimensionless,E,0.004357,Definition α = 2/(458+1),Default; tunable
Technical Indicators,EMA period 459,α_459,EMA smoothing factor,dimensionless,E,0.004348,Definition α = 2/(459+1),Default; tunable
Technical Indicators,EMA period 460,α_460,EMA smoothing factor,dimensionless,E,0.004338,Definition α = 2/(460+1),Default; tunable
Technical Indicators,EMA period 461,α_461,EMA smoothing factor,dimensionless,E,0.004329,Definition α = 2/(461+1),Default; tunable
Technical Indicators,EMA period 462,α_462,EMA smoothing factor,dimensionless,E,0.004320,Definition α = 2/(462+1),Default; tunable
Technical Indicators,EMA period 463,α_463,EMA smoothing factor,dimensionless,E,0.004310,Definition α = 2/(463+1),Default; tunable
Technical Indicators,EMA period 464,α_464,EMA smoothing factor,dimensionless,E,0.004301,Definition α = 2/(464+1),Default; tunable
Technical Indicators,EMA period 465,α_465,EMA smoothing factor,dimensionless,E,0.004292,Definition α = 2/(465+1),Default; tunable
Technical Indicators,EMA period 466,α_466,EMA smoothing factor,dimensionless,E,0.004283,Definition α = 2/(466+1),Default; tunable
Technical Indicators,EMA period 467,α_467,EMA smoothing factor,dimensionless,E,0.004274,Definition α = 2/(467+1),Default; tunable
Technical Indicators,EMA period 468,α_468,EMA smoothing factor,dimensionless,E,0.004264,Definition α = 2/(468+1),Default; tunable
Technical Indicators,EMA period 469,α_469,EMA smoothing factor,dimensionless,E,0.004255,Definition α = 2/(469+1),Default; tunable
Technical Indicators,EMA period 470,α_470,EMA smoothing factor,dimensionless,E,0.004246,Definition α = 2/(470+1),Default; tunable
Technical Indicators,EMA period 471,α_471,EMA smoothing factor,dimensionless,E,0.004237,Definition α = 2/(471+1),Default; tunable
Technical Indicators,EMA period 472,α_472,EMA smoothing factor,dimensionless,E,0.004228,Definition α = 2/(472+1),Default; tunable
Technical Indicators,EMA period 473,α_473,EMA smoothing factor,dimensionless,E,0.004219,Definition α = 2/(473+1),Default; tunable
Technical Indicators,EMA period 474,α_474,EMA smoothing factor,dimensionless,E,0.004211,Definition α = 2/(474+1),Default; tunable
Technical Indicators,EMA period 475,α_475,EMA smoothing factor,dimensionless,E,0.004202,Definition α = 2/(475+1),Default; tunable
Technical Indicators,EMA period 476,α_476,EMA smoothing factor,dimensionless,E,0.004193,Definition α = 2/(476+1),Default; tunable
Technical Indicators,EMA period 477,α_477,EMA smoothing factor,dimensionless,E,0.004184,Definition α = 2/(477+1),Default; tunable
Technical Indicators,EMA period 478,α_478,EMA smoothing factor,dimensionless,E,0.004175,Definition α = 2/(478+1),Default; tunable
Technical Indicators,EMA period 479,α_479,EMA smoothing factor,dimensionless,E,0.004167,Definition α = 2/(479+1),Default; tunable
Technical Indicators,EMA period 480,α_480,EMA smoothing factor,dimensionless,E,0.004158,Definition α = 2/(480+1),Default; tunable
Technical Indicators,EMA period 481,α_481,EMA smoothing factor,dimensionless,E,0.004149,Definition α = 2/(481+1),Default; tunable
Technical Indicators,EMA period 482,α_482,EMA smoothing factor,dimensionless,E,0.004141,Definition α = 2/(482+1),Default; tunable
Technical Indicators,EMA period 483,α_483,EMA smoothing factor,dimensionless,E,0.004132,Definition α = 2/(483+1),Default; tunable
Technical Indicators,EMA period 484,α_484,EMA smoothing factor,dimensionless,E,0.004124,Definition α = 2/(484+1),Default; tunable
Technical Indicators,EMA period 485,α_485,EMA smoothing factor,dimensionless,E,0.004115,Definition α = 2/(485+1),Default; tunable
Technical Indicators,EMA period 486,α_486,EMA smoothing factor,dimensionless,E,0.004107,Definition α = 2/(486+1),Default; tunable
Technical Indicators,EMA period 487,α_487,EMA smoothing factor,dimensionless,E,0.004098,Definition α = 2/(487+1),Default; tunable
Technical Indicators,EMA period 488,α_488,EMA smoothing factor,dimensionless,E,0.004090,Definition α = 2/(488+1),Default; tunable
Technical Indicators,EMA period 489,α_489,EMA smoothing factor,dimensionless,E,0.004082,Definition α = 2/(489+1),Default; tunable
Technical Indicators,EMA period 490,α_490,EMA smoothing factor,dimensionless,E,0.004073,Definition α = 2/(490+1),Default; tunable
Technical Indicators,EMA period 491,α_491,EMA smoothing factor,dimensionless,E,0.004065,Definition α = 2/(491+1),Default; tunable
Technical Indicators,EMA period 492,α_492,EMA smoothing factor,dimensionless,E,0.004057,Definition α = 2/(492+1),Default; tunable
Technical Indicators,EMA period 493,α_493,EMA smoothing factor,dimensionless,E,0.004049,Definition α = 2/(493+1),Default; tunable
Technical Indicators,EMA period 494,α_494,EMA smoothing factor,dimensionless,E,0.004040,Definition α = 2/(494+1),Default; tunable
Technical Indicators,EMA period 495,α_495,EMA smoothing factor,dimensionless,E,0.004032,Definition α = 2/(495+1),Default; tunable
Technical Indicators,EMA period 496,α_496,EMA smoothing factor,dimensionless,E,0.004024,Definition α = 2/(496+1),Default; tunable
Technical Indicators,EMA period 497,α_497,EMA smoothing factor,dimensionless,E,0.004016,Definition α = 2/(497+1),Default; tunable
Technical Indicators,EMA period 498,α_498,EMA smoothing factor,dimensionless,E,0.004008,Definition α = 2/(498+1),Default; tunable
Technical Indicators,EMA period 499,α_499,EMA smoothing factor,dimensionless,E,0.004000,Definition α = 2/(499+1),Default; tunable
Technical Indicators,EMA period 500,α_500,EMA smoothing factor,dimensionless,E,0.003992,Definition α = 2/(500+1),Default; tunable
Technical Indicators,RSI period 2,RSI_2,Relative Strength Index lookback period,periods,E,2,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 3,RSI_3,Relative Strength Index lookback period,periods,E,3,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 4,RSI_4,Relative Strength Index lookback period,periods,E,4,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 5,RSI_5,Relative Strength Index lookback period,periods,E,5,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 6,RSI_6,Relative Strength Index lookback period,periods,E,6,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 7,RSI_7,Relative Strength Index lookback period,periods,E,7,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 8,RSI_8,Relative Strength Index lookback period,periods,E,8,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 9,RSI_9,Relative Strength Index lookback period,periods,E,9,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 10,RSI_10,Relative Strength Index lookback period,periods,E,10,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 11,RSI_11,Relative Strength Index lookback period,periods,E,11,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 12,RSI_12,Relative Strength Index lookback period,periods,E,12,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 13,RSI_13,Relative Strength Index lookback period,periods,E,13,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 14,RSI_14,Relative Strength Index lookback period,periods,E,14,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 15,RSI_15,Relative Strength Index lookback period,periods,E,15,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 16,RSI_16,Relative Strength Index lookback period,periods,E,16,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 17,RSI_17,Relative Strength Index lookback period,periods,E,17,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 18,RSI_18,Relative Strength Index lookback period,periods,E,18,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 19,RSI_19,Relative Strength Index lookback period,periods,E,19,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 20,RSI_20,Relative Strength Index lookback period,periods,E,20,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 21,RSI_21,Relative Strength Index lookback period,periods,E,21,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 22,RSI_22,Relative Strength Index lookback period,periods,E,22,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 23,RSI_23,Relative Strength Index lookback period,periods,E,23,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 24,RSI_24,Relative Strength Index lookback period,periods,E,24,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 25,RSI_25,Relative Strength Index lookback period,periods,E,25,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 26,RSI_26,Relative Strength Index lookback period,periods,E,26,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 27,RSI_27,Relative Strength Index lookback period,periods,E,27,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 28,RSI_28,Relative Strength Index lookback period,periods,E,28,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 29,RSI_29,Relative Strength Index lookback period,periods,E,29,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 30,RSI_30,Relative Strength Index lookback period,periods,E,30,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 31,RSI_31,Relative Strength Index lookback period,periods,E,31,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 32,RSI_32,Relative Strength Index lookback period,periods,E,32,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 33,RSI_33,Relative Strength Index lookback period,periods,E,33,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 34,RSI_34,Relative Strength Index lookback period,periods,E,34,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 35,RSI_35,Relative Strength Index lookback period,periods,E,35,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 36,RSI_36,Relative Strength Index lookback period,periods,E,36,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 37,RSI_37,Relative Strength Index lookback period,periods,E,37,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 38,RSI_38,Relative Strength Index lookback period,periods,E,38,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 39,RSI_39,Relative Strength Index lookback period,periods,E,39,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 40,RSI_40,Relative Strength Index lookback period,periods,E,40,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 41,RSI_41,Relative Strength Index lookback period,periods,E,41,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 42,RSI_42,Relative Strength Index lookback period,periods,E,42,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 43,RSI_43,Relative Strength Index lookback period,periods,E,43,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 44,RSI_44,Relative Strength Index lookback period,periods,E,44,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 45,RSI_45,Relative Strength Index lookback period,periods,E,45,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 46,RSI_46,Relative Strength Index lookback period,periods,E,46,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 47,RSI_47,Relative Strength Index lookback period,periods,E,47,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 48,RSI_48,Relative Strength Index lookback period,periods,E,48,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 49,RSI_49,Relative Strength Index lookback period,periods,E,49,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 50,RSI_50,Relative Strength Index lookback period,periods,E,50,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 51,RSI_51,Relative Strength Index lookback period,periods,E,51,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 52,RSI_52,Relative Strength Index lookback period,periods,E,52,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 53,RSI_53,Relative Strength Index lookback period,periods,E,53,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 54,RSI_54,Relative Strength Index lookback period,periods,E,54,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 55,RSI_55,Relative Strength Index lookback period,periods,E,55,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 56,RSI_56,Relative Strength Index lookback period,periods,E,56,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 57,RSI_57,Relative Strength Index lookback period,periods,E,57,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 58,RSI_58,Relative Strength Index lookback period,periods,E,58,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 59,RSI_59,Relative Strength Index lookback period,periods,E,59,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 60,RSI_60,Relative Strength Index lookback period,periods,E,60,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 61,RSI_61,Relative Strength Index lookback period,periods,E,61,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 62,RSI_62,Relative Strength Index lookback period,periods,E,62,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 63,RSI_63,Relative Strength Index lookback period,periods,E,63,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 64,RSI_64,Relative Strength Index lookback period,periods,E,64,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 65,RSI_65,Relative Strength Index lookback period,periods,E,65,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 66,RSI_66,Relative Strength Index lookback period,periods,E,66,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 67,RSI_67,Relative Strength Index lookback period,periods,E,67,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 68,RSI_68,Relative Strength Index lookback period,periods,E,68,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 69,RSI_69,Relative Strength Index lookback period,periods,E,69,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 70,RSI_70,Relative Strength Index lookback period,periods,E,70,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 71,RSI_71,Relative Strength Index lookback period,periods,E,71,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 72,RSI_72,Relative Strength Index lookback period,periods,E,72,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 73,RSI_73,Relative Strength Index lookback period,periods,E,73,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 74,RSI_74,Relative Strength Index lookback period,periods,E,74,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 75,RSI_75,Relative Strength Index lookback period,periods,E,75,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 76,RSI_76,Relative Strength Index lookback period,periods,E,76,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 77,RSI_77,Relative Strength Index lookback period,periods,E,77,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 78,RSI_78,Relative Strength Index lookback period,periods,E,78,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 79,RSI_79,Relative Strength Index lookback period,periods,E,79,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 80,RSI_80,Relative Strength Index lookback period,periods,E,80,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 81,RSI_81,Relative Strength Index lookback period,periods,E,81,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 82,RSI_82,Relative Strength Index lookback period,periods,E,82,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 83,RSI_83,Relative Strength Index lookback period,periods,E,83,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 84,RSI_84,Relative Strength Index lookback period,periods,E,84,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 85,RSI_85,Relative Strength Index lookback period,periods,E,85,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 86,RSI_86,Relative Strength Index lookback period,periods,E,86,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 87,RSI_87,Relative Strength Index lookback period,periods,E,87,Default (Wilder),Momentum oscillator
Technical Indicators,RSI period 88,RSI_88,Relative Strength Index lookback period,periods,E,88,Default (Wilder),Momentum oscillator
