id,subdomain,name,statement,variables_and_units,value_or_exponent,status,status_note,regime_variable,falsification_test,trok_gate_prognosis
102,Markets/adoption,Bass diffusion,dN/dt = (p + q*N/M)*(M - N),N = adopters [1]; M = market size [1],"p, q to be estimated",EMPIRICAL,empirical,M unobservable,M is not identified from truncated data - fits are unstable; state this openly,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
103,Markets/adoption,S-curve saturation,growth rate declines once N/M > 0.5,dimensionless,inflection at 0.5,EMPIRICAL,empirical,logistic assumption,Requires a defensible M estimate; without it the claim is untestable,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
104,Markets/corr,Equity correlation regime,"rho(BTC, NDX) over rolling 90d",correlation [1],"ranges roughly 0 to 0.7 - REGIME DEPENDENT, no constant",EMPIRICAL,empirical,"macro regime (rates, liquidity)",A single rho is the wrong model; a regime-switching model is the right one - GOOD GATE TEST,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
105,Markets/corr,Altcoin beta to BTC,r_alt = alpha + beta*r_btc + e,returns [1],beta > 1 typical,EMPIRICAL,empirical,market cap tier,Estimate per tier; beta instability across regimes is the interesting result,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
106,Markets/corr,Dominance mean reversion,BTC dominance reverts to a long-run mean,"share [0,1]",NO STABLE MEAN - definition changes as new assets list,CONTESTED,contested,asset universe definition,"The denominator is not a fixed universe, so the series is not stationary by construction",expected to FAIL regime-shift or bootstrap - run it and record the failure
107,Markets/cycles,Halving-to-peak lag,peak occurs ~12-18 months after halving,months,n = 3-4 observations,NOT_TESTABLE,NOT STATISTICALLY TESTABLE,n too small,Four data points cannot support an interval estimate - keep as NEGATIVE CONTROL,"NEGATIVE CONTROL - insufficient n, reject at bootstrap"
108,Markets/cycles,Four-year cycle,spectral peak at ~4 years in log price,years,n = 3-4 cycles,CONTESTED,contested,sample too short,A spectral peak needs many cycles; with 3 it is not identifiable,expected to FAIL regime-shift or bootstrap - run it and record the failure
109,Markets/cycles,MVRV mean reversion,"MVRV = market_cap / realized_cap, reverts toward 1",dimensionless,thresholds are fitted in-sample,CONTESTED,contested,cycle,Test out-of-sample only; in-sample thresholds are guaranteed to look good,expected to FAIL regime-shift or bootstrap - run it and record the failure
110,Markets/cycles,Difficulty ribbon capitulation,miner capitulation when short MA of difficulty crosses below long MA,difficulty [1],MA windows chosen post hoc,CONTESTED,contested,window choice is a researcher degree of freedom,"Run the full grid of window pairs and report the distribution, not the best pair",expected to FAIL regime-shift or bootstrap - run it and record the failure
111,Markets/risk,Kelly criterion,f* = (b*p - q)/b,f* = fraction of bankroll [1],exact given true p,PROVEN,proven given known probabilities,p estimated vs known,Estimation error in p makes full Kelly ruinous - fractional Kelly is the practical form,"passes dimensional; regime gate n/a (theorem, not fitted)"
112,Markets/risk,Drawdown scaling,expected max drawdown grows with sqrt(T) under random walk,T [days],sqrt,PROVEN,proven under RW,fat tails violate it,Compare realised max drawdown to RW simulation with matched sigma,"passes dimensional; regime gate n/a (theorem, not fitted)"
113,Markets/risk,Liquidation cascade,liquidation volume convex in price move once open interest / depth is high,USD,to be estimated,EMPIRICAL,empirical,leverage regime,Open interest / order book depth is the regime variable - test the interaction term,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
114,Markets/risk,Funding-driven mean reversion,extreme funding predicts short-horizon reversal,bps per 8h,to be estimated,CONTESTED,contested,venue and period,Backtest with realistic fees; most of the effect is fee-sized,expected to FAIL regime-shift or bootstrap - run it and record the failure
115,Markets/onchain,Reflexivity of TVL and token price,TVL and price are jointly determined (TVL is priced in the token),USD,circular by construction,CAVEAT,methodological caveat,incentive program active,Denominate TVL in the base asset to break the circularity,review manually
116,Markets/onchain,Emission-driven TVL,TVL falls when incentive emissions end,USD,effect size to be estimated,EMPIRICAL,empirical,emission schedule - CLEAN REGIME VARIABLE,Event study around emission cliffs; a good candidate for the regime-shift gate,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
117,Markets/onchain,Exchange balance and supply shock,declining exchange balances interpreted as supply shock,BTC,no stable k,CONTESTED,contested,custody migration confounds it,ETF custody moved coins between address sets without changing float - confounded,expected to FAIL regime-shift or bootstrap - run it and record the failure
118,Markets/onchain,Realized cap,realized_cap = sum over UTXOs of (value * price at last move),USD,definitional,DEFINITIONAL,definitional,lost coins included,Well defined but includes provably lost coins - state the treatment,"passes dimensional; not a law - no k to estimate, skip bootstrap"
119,Markets/onchain,Coin-days destroyed,CDD = sum(value * days held) on spend,BTC*days,definitional,DEFINITIONAL,definitional,self-transfers inflate it,Filter self-transfers or the metric is noise,"passes dimensional; not a law - no k to estimate, skip bootstrap"
120,Markets/struct,ETF flow to price elasticity,d(log price)/d(net_flow / free_float),USD flow; float [BTC],to be estimated,EMPIRICAL,empirical,post-Jan-2024 ONLY - NEW REGIME,No pre-2024 data exists; any model fitted on older data cannot cover this regime,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
121,Markets/struct,Free float estimate,float = supply - lost - long_term_held - custodial_locked,BTC,each term is an estimate with wide error,EMPIRICAL,empirical,lost-coin assumption,Propagate the uncertainty; point estimates of float are overconfident,dimensional OK; MUST pass regime-shift + bootstrap before acceptance
122,Markets/struct,Miner sell pressure,daily issuance / daily spot volume,dimensionless,computable exactly,DERIVED,derived,halving epoch,Has fallen by ~2^4 across halvings while volume grew - mechanically shrinking effect,"passes dimensional; regime gate n/a (theorem, not fitted)"
123,Markets/struct,Stablecoin supply as liquidity proxy,d(log price) responds to d(stablecoin supply) with lag,USD,to be estimated,CONTESTED,contested,regulatory regime,Granger-test both directions; causality is likely bidirectional,expected to FAIL regime-shift or bootstrap - run it and record the failure
